2026-07-14 02:00:24 status half-installed libssl-dev:amd64 3.5.6-1~deb13u2
2026-07-14 02:00:24 status unpacked libssl-dev:amd64 3.5.6-1~deb13u2
2026-07-14 02:00:24 install libtcl8.6:amd64 <none> 8.6.16+dfsg-1
2026-07-14 02:00:24 status half-installed libtcl8.6:amd64 8.6.16+dfsg-1
2026-07-14 02:00:24 status unpacked libtcl8.6:amd64 8.6.16+dfsg-1
2026-07-14 02:00:24 install libxau6:amd64 <none> 1:1.0.11-1
2026-07-14 02:00:24 status half-installed libxau6:amd64 1:1.0.11-1
2026-07-14 02:00:24 status unpacked libxau6:amd64 1:1.0.11-1
2026-07-14 02:00:24 install libxdmcp6:amd64 <none> 1:1.1.5-1
2026-07-14 02:00:24 status half-installed libxdmcp6:amd64 1:1.1.5-1
2026-07-14 02:00:24 status unpacked libxdmcp6:amd64 1:1.1.5-1
2026-07-14 02:00:24 install libxcb1:amd64 <none> 1.17.0-2+b1
